NAME,PRICE,CUISINE_CATEGORY,CITY,REGION,URL,PAGE NO,OUTLET_TYPE,TIMING,REVIEWS,RATING,VOTES
A Vanilla Bean,400.0,"Bakery,Desserts",Mumbai,Khar,https://www.zomato.com/avanillabean/info,552,Bakery,9am to 7pm(Mon-Sun),Very Good,4.0,120.0
Say Noodles,500.0,"Chinese,Momos",Mumbai,Panvel,https://www.zomato.com/mumbai/say-noodles-new-panvel-navi-mumbai/info,552,Quick Bites,"12noon to 4pm,6pm to 11pm(Mon,Tue,Fri,Sat...",Good,3.6,197.0
Food Paradise,500.0,"North Indian,Chinese",Mumbai,CBD Belapur,https://www.zomato.com/mumbai/food-paradise-cbd-belapur-navi-mumbai/info,552,Casual Dining,730am to 1130pm(Mon-Sun),Average,3.3,15.0
Chaat Samrat,400.0,Street Food,Mumbai,Dahisar,https://www.zomato.com/mumbai/chaat-samrat-dahisar-east/info,552,Food Court,1130am to 11pm(Mon-Sun),Average,3.2,18.0
Malti's Delicacies,300.0,"Bakery,Desserts",Mumbai,Malad,https://www.zomato.com/mumbai/maltis-delicacies-malad-east/info,552,Bakery,11am to 11pm(Mon-Sun),Good,3.6,27.0
Gadkari Katta,600.0,"Maharashtrian,Chinese,South Indian",Mumbai,Thane,https://www.zomato.com/mumbai/gadkari-katta-naupada-thane-west/info,552,Casual Dining,10am to 11pm(Mon-Sun),Good,3.5,51.0
Lai Bhari Hotel,250.0,Maharashtrian,Mumbai,Kharghar,https://www.zomato.com/mumbai/lai-bhari-hotel-kharghar-navi-mumbai/info,552,Quick Bites,8am to 10pm(Mon-Sun),Average,3.3,45.0
Shuddhi,500.0,"North Indian,Sindhi,Indian",Mumbai,Kandivali,https://www.zomato.com/mumbai/shuddhi-kandivali-west/info,552,Casual Dining,9am to 1030pm(Mon-Sun),Average,3.4,94.0
Hotel Radhakrishna Veg & Non Veg,500.0,"North Indian,Chinese",Mumbai,Thane,https://www.zomato.com/mumbai/hotel-radhakrishna-veg-non-veg-wagle-estate-thane-west-thane/info,552,Casual Dining,"11am to 330pm,7pm to 12midnight(Mon-Sun)",Average,2.9,30.0
Priya Restaurant,500.0,"North Indian,Chinese",Mumbai,Dombivali,https://www.zomato.com/mumbai/priya-restaurant-dombivali-east/info,552,Casual Dining,"11am to 3pm,6pm to 12midnight(Mon-Sun)",Good,3.5,212.0
Fresh Flavour,300.0,"North Indian,Malwani,Chinese",Mumbai,Sanpada,https://www.zomato.com/mumbai/fresh-flavour-sanpada-navi-mumbai/info,552,Quick Bites,"10am to 4pm,6pm to 1130pm(Mon-Sun)",Average,3.4,29.0
Saldanha's Health Juices,250.0,"Beverages,Healthy Food,Sandwich",Mumbai,Santacruz,https://www.zomato.com/mumbai/saldanhas-health-juices-santacruz-east/info,553,Beverage Shop,9am to 11pm(Mon-Sun),Average,2.8,31.0
Sai Siddhi Hotel,400.0,Fast Food,Mumbai,Prabhadevi,https://www.zomato.com/mumbai/sai-siddhi-hotel-prabhadevi/info,553,Quick Bites,"11am to 11pm(Mon,Tue,Wed,Thu,Sat,Sun),11am...",Good,3.5,55.0
Alfa Shawarma Centre,300.0,"Fast Food,Lebanese",Mumbai,Vasai,https://www.zomato.com/mumbai/alfa-shawarma-centre-1-vasai/info,553,Quick Bites,10am to 1130pm(Mon-Sun),Good,3.6,46.0
Aai Lunch Home,400.0,"North Indian,Chinese,Seafood",Mumbai,Kharghar,https://www.zomato.com/mumbai/aai-lunch-home-kharghar-navi-mumbai/info,553,Casual Dining,"1130am to 4pm,730pm to 11pm(Mon-Sun)",Good,3.5,43.0
